,Id,SalePrice
0,2658,68524.3392673838
1,2718,84921.1192359965
2,2414,163430.53852221253
3,1989,38861.67654899892
4,625,123257.72426789487
5,333,9046.15520001424
6,1327,30028.117495519575
7,858,90395.60104104748
8,95,94592.14790238661
9,1568,100762.82960977021
10,2482,70172.22242219944
11,1364,59356.68530926434
12,2584,66707.6806902577
13,818,202601.92598507996
14,2673,69300.05301389634
15,2089,59529.33316804818
16,1297,89819.07624052989
17,790,49086.36651352083
18,2616,136553.9797760431
19,720,110562.91312625236
20,222,100596.3113456599
21,557,58799.668770027696
22,1148,109704.92836649274
23,2766,108119.72068515222
24,534,111950.51469051838
25,1452,50957.49386569508
26,630,43854.74694686907
27,2648,59166.16653454187
28,125,96421.29693465761
29,1904,-13355.408645695308
30,1670,24947.025394361583
31,756,34496.49529366533
32,717,114985.96570736845
33,1032,81524.6451156591
34,852,156854.1792888597
35,1731,100917.15404890652
36,2639,48723.63123781828
37,2071,13969.559297748376
38,1267,80624.58065827226
39,1851,134208.52752499224
40,567,100141.29624465038
41,2439,133768.48573883483
42,1898,87315.9785402934
43,647,105470.99656529527
44,2256,138158.26149461616
45,979,19215.21797782625
46,1444,148673.5513879176
47,2485,68886.91532509995
48,157,64674.38765790395
49,88,38580.52913588728
50,2003,37170.74437793903
51,186,141020.08139329613
52,1425,166560.99261367368
53,2695,56278.12134442723
54,738,22263.193604047876
55,395,93346.08730079525
56,1353,97678.7469790997
57,1878,76496.4764290005
58,390,80740.98271381005
59,1456,159064.00617345737
60,1103,247137.32125756156
61,1387,57539.67111407651
62,2070,79028.00232606602
63,1199,84001.8524777022
64,2479,112534.64410202694
65,501,287256.9332929946
66,2362,13267.834728304646
67,1718,152669.0675717463
68,2188,51022.00797209318
69,1483,83731.37453999149
70,2557,35554.525384172564
71,437,282578.8851314832
72,2224,138702.54817637056
73,1628,102982.35289007775
74,397,74878.99939807213
75,587,109608.14719741512
76,971,86944.23586160748
77,2611,71183.81269581465
78,1887,33954.44115909585
79,2399,301436.5694635125
80,2148,127221.56193701527
81,304,61100.62496970757
82,1997,61765.46245230979
83,2817,48040.192919754074
84,1431,139702.01813057088
85,427,272361.33973638795
86,263,57629.51208067429
87,598,104728.36613709363
88,2895,211525.10623724316
89,687,68239.27427380322
90,1822,69048.45887517452
91,2191,33868.41696078039
92,179,43950.50161640672
93,1009,168918.91484114423
94,2010,68716.68879590835
95,1991,67184.89182055811
96,1411,142680.54072192404
97,1721,166934.22296108585
98,1144,125829.81702542247
99,593,143872.69115431
100,575,230030.32344430138
101,1249,112222.03029176651
102,1604,57709.82792341674
103,1064,383602.562785811
104,1923,67861.22604802041
105,1988,55826.6322403457
106,2325,102071.28262570617
107,114,126582.88351000822
108,2700,93613.64554153418
109,217,121987.22806610528
110,343,114010.99757827772
111,386,147143.45762371412
112,2005,19064.071150526637
113,2908,64903.48235658684
114,1814,162773.79034575517
115,2446,372620.4199564123
116,208,63147.464802835486
117,1679,41085.310819373
118,822,235310.8629356973
119,6,117624.24058220768
120,1781,306124.1153172734
121,2397,248418.95163888496
122,2340,253345.92462641222
123,1618,100954.89024825522
124,2843,98042.47943914926
125,1061,298086.0204571339
126,2786,49629.73359637917
127,1935,63075.01201994554
128,1341,45326.13770548301
129,521,189148.50996358867
130,2136,61005.189184530056
131,996,136962.00976976403
